BTC_R,BTC_R_LOW,BTC_R_MAX,BTC_R_V,Date,ETH_B,ETH_B_LOW,ETH_B_MAX,ETH_B_V,ETH_L,ETH_L_LOW,ETH_L_MAX,ETH_L_V,ETH_R,ETH_R_LOW,ETH_R_MAX,ETH_R_V,LTC_B,LTC_B_LOW,LTC_B_MAX,LTC_B_V,LTC_R,LTC_R_LOW,LTC_R_MAX,LTC_R_V,Time
253300,252000,259500,735,21.02.2019,0.0366,0.0363,0.0376,5296.3489,2.95,2.83,2.98,367,9257,9172,9656,1771,0.0123,0.0123,0.0131,5656,3140,3093,3500,1640,15:32
253300,252000,259500,736,21.02.2019,0.0366,0.0363,0.0376,5296.3489,2.95,2.83,2.98,367,9257,9172,9656,1773,0.0123,0.0123,0.0131,5654,3140,3093,3500,1640,15:33
253402,252000,259500,738,21.02.2019,0.0365,0.0363,0.0376,5325.2037,2.95,2.83,2.98,346,9255,9172,9656,1775,0.0123,0.0123,0.0131,5601,3118,3093,3500,1574,15:38
253427,252000,259500,732,21.02.2019,0.0365,0.0363,0.0376,5330.1451,2.95,2.83,2.98,346,9256,9172,9656,1767,0.0123,0.0123,0.0131,5590,3118,3093,3500,1577,15:43
253278,252000,259500,731,21.02.2019,0.0365,0.0363,0.0376,5339.9229,2.95,2.83,2.98,325,9256,9172,9656,1768,0.0123,0.0123,0.0131,5516,3117,3093,3500,1557,15:48
253001,252000,259500,732,21.02.2019,0.0366,0.0363,0.0376,5337.5415,2.95,2.83,2.98,308,9224,9172,9656,1802,0.0123,0.0123,0.0131,5509,3117,3093,3500,1537,15:53
253066,252000,259500,731,21.02.2019,0.0366,0.0363,0.0376,5338.1626,2.95,2.83,2.98,309,9246,9172,9656,1804,0.0123,0.0123,0.0131,5503,3118,3093,3500,1528,15:58
253021,252000,259500,736,21.02.2019,0.0366,0.0363,0.0376,5344.4712,2.95,2.83,2.98,309,9247,9172,9656,1771,0.0123,0.0123,0.0131,5511,3118,3093,3500,1522,16:03
253046,252000,259500,733,21.02.2019,0.0365,0.0363,0.0376,5341.9829,2.95,2.83,2.98,309,9247,9172,9656,1778,0.0123,0.0123,0.0131,5517,3117,3093,3500,1510,16:08
253016,252000,259500,732,21.02.2019,0.0365,0.0363,0.0376,5352.4405,2.95,2.83,2.98,308,9247,9172,9656,1765,0.0123,0.0123,0.0131,5498,3117,3093,3500,1511,16:13
253016,252000,259500,732,21.02.2019,0.0365,0.0363,0.0376,5354.0874,2.95,2.83,2.98,307,9248,9172,9656,1760,0.0123,0.0123,0.0131,5505,3117,3093,3500,1507,16:18
253023,252000,259500,733,21.02.2019,0.0365,0.0363,0.0376,5338.3493,2.95,2.83,2.98,307,9262,9172,9656,1762,0.0123,0.0123,0.0131,5514,3117,3093,3500,1500,16:23
253037,252000,259500,731,21.02.2019,0.0366,0.0363,0.0376,5312.8697,2.95,2.83,2.98,306,9279,9172,9656,1749,0.0124,0.0123,0.0131,5494,3134,3093,3500,1501,16:28
254001,252000,259500,732,21.02.2019,0.0366,0.0363,0.0376,5309.1663,2.95,2.83,2.98,307,9268,9172,9656,1751,0.0124,0.0123,0.0131,5476,3134,3093,3500,1501,16:33
253305,252000,259500,733,21.02.2019,0.0367,0.0363,0.0376,5317.1404,2.94,2.83,2.98,306,9247,9172,9656,1749,0.0124,0.0123,0.0131,5477,3139,3093,3500,1502,16:38
253314,252000,259500,732,21.02.2019,0.0366,0.0363,0.0376,5328.4805,2.94,2.83,2.98,308,9249,9172,9656,1742,0.0124,0.0123,0.0131,5460,3143,3093,3500,1496,16:43
